solution,id,name,tactics,techniques
"ApacheHTTPServer","456ab502-38b8-11ec-8d3d-0242ac130003","Apache - Top Top files requested","InitialAccess","T1190 T1133"
"ApacheHTTPServer","ae48a600-3ae9-11ec-8d3d-0242ac130003","Apache - Rare files requested ","InitialAccess","T1190 T1133"
"ApacheHTTPServer","5ce3f2ed-0c81-407f-ae12-6ea00a6d9873","Apache - Rare user agents with client errors","InitialAccess","T1190 T1133"
"ApacheHTTPServer","4c1a164e-3ae9-11ec-8d3d-0242ac130003","Apache - Rare URLs requested","InitialAccess","T1190 T1133"
"ApacheHTTPServer","d2e85f1a-3ae8-11ec-8d3d-0242ac130003","Apache - Rare user agents","InitialAccess","T1190 T1133"
"ApacheHTTPServer","017d1bee-3aea-11ec-8d3d-0242ac130003","Apache - Requests to unexisting files ","InitialAccess","T1190 T1133"
"ApacheHTTPServer","c21ea046-3ae7-11ec-8d3d-0242ac130003","Apache - Unexpected Post Requests","Persistence CommandAndControl","T1100 T1505 T1071"
"ApacheHTTPServer","28961fc8-3892-11ec-8d3d-0242ac130003","Apache - Top URLs with client errors","Impact InitialAccess","T1498 T1190 T1133"
"ApacheHTTPServer","ccdd22c6-3896-11ec-8d3d-0242ac130003","Apache - Top URLs with server errors","Impact InitialAccess","T1498 T1190 T1133"
"AtlassianJiraAudit","3fdc31f0-a166-4a4d-b861-f3cd262fd4a1","Jira - Blocked tasks","Impact","T1499"
"AtlassianJiraAudit","aadc0945-a399-47ba-b285-c0c09ee06375","Jira - New users","Persistence","T1078"
"AtlassianJiraAudit","103ccb8d-f910-4978-aba7-1ad598db822b","Jira - Project versions released","Impact","T1565"
"AtlassianJiraAudit","e78cb74b-576b-4e35-a46c-8d328b2d4040","Jira - Project versions","Impact","T1565"
"AtlassianJiraAudit","eb409b8b-0267-4e95-b3a9-ee1a72c32409","Jira - Updated projects","Impact","T1565"
"AtlassianJiraAudit","d208b406-1509-455c-8c7d-7ffe2f893f24","Jira - Updated users","PrivilegeEscalation Impact","T1531 T1078"
"AtlassianJiraAudit","3e6ff26d-05dc-4921-9a60-444a0e28cd45","Jira - Updated workflow schemes","Impact","T1565"
"AtlassianJiraAudit","d4dd32bb-84a4-4fdc-9118-3039cbabb4f8","Jira - Updated workflows","Impact","T1565"
"AtlassianJiraAudit","2265bbd2-7e97-4d69-bdfc-eeb646730d8f","Jira - Users' IP addresses","Persistence","T1078"
"AtlassianJiraAudit","2f875fa8-ced3-4059-b453-616dbc6eb276","Jira - Workflow schemes added to projects","Impact","T1565"
"Attacker Tools Threat Protection Essentials","dde206fc-3f0b-4175-bb5d-42d2aae9d4c9","Cobalt Strike DNS Beaconing","CommandAndControl","T1568 T1008"
"Attacker Tools Threat Protection Essentials","24ae555c-5e33-4b5d-827a-44206e39f6b4","Potential Impacket Execution","CredentialAccess","T1557.001 T1040 T1003.001 T1003.002 T1003.003 T1003.004 T1558.003"
"Authomize","b3430fb5-78aa-4729-8595-f66c06138478","Admin SaaS account detected","PrivilegeEscalation","T1089"
"Authomize","bf03796a-3ed7-440f-bfc3-0c702cf762a9","ateral Movement Risk - Role Chain Length","PrivilegeEscalation","T1089"
"Authomize","ab80b41c-23e5-4264-ac23-806aad2a57af","IaaS admin detected","PrivilegeEscalation","T1089"
"Authomize","fad675f5-b743-40c6-873d-019de93f18db","IaaS shadow admin detected","PrivilegeEscalation","T1089"
"Authomize","485e7cab-131e-40ce-9482-791e681b7967","Password Exfiltration over SCIM application","CredentialAccess","T1555 T1040 T1552 T1555.003 T1552.005"
"Authomize","7457a420-8c28-4ce2-a55e-d050e5a6bc4f","Privileged Machines Exposed to the Internet","Discovery","T1613"
"Azure Activity","ef7ef44e-6129-4d8e-94fe-b5530415d8e5","Microsoft Sentinel Analytics Rules Administrative Operations","Impact","T1496"
"Azure Activity","43cb0347-bdcc-4e83-af5a-cebbd03971d8","Anomalous Azure Operation Hunting Model","LateralMovement CredentialAccess","T1570 T1078.004"
"Azure Activity","5d2399f9-ea5c-4e67-9435-1fba745f3a39","Azure storage key enumeration","Discovery","T1087"
"Azure Activity","1b8779c9-abf2-444f-a21f-437b8f90ac4a","AzureActivity Administration From VPS Providers","InitialAccess","T1078"
"Azure Activity","e94d6756-981c-4f02-9a81-d006d80c8b41","Azure Network Security Group NSG Administrative Operations","Impact","T1496"
"Azure Activity","efe843ca-3ce7-4896-9f8b-f2c374ae6527","Azure VM Run Command executed from Azure IP address","LateralMovement CredentialAccess","T1570 T1078.004"
"Azure Activity","17201aa8-0916-4078-a020-7ea3a9262889","Microsoft Sentinel Connectors Administrative Operations","Impact","T1496"
"Azure Activity","5a1f9655-c893-4091-8dc0-7f11d7676506","Microsoft Sentinel Workbooks Administrative Operations","Impact","T1496"
"Azure Activity","57784ba5-7791-422e-916f-65ef94fe1dbb","Azure Virtual Network Subnets Administrative Operations","Impact","T1496"
"Azure Activity","0278e3b8-9899-45c5-8928-700cd80d2d80","Common deployed resources","Impact","T1496"
"Azure Activity","a09e6368-065b-4f1e-a4ce-b1b3a64b493b","Creation of an anomalous number of resources","Impact","T1496"
"Azure Activity","860cda84-765b-4273-af44-958b7cca85f7","Granting permissions to account","Persistence PrivilegeEscalation","T1098"
"Azure Activity","9e146876-e303-49af-b847-b029d1a66852","Port opened for an Azure Resource","CommandAndControl Impact","T1071 T1571 T1496"
"Azure Activity","81fd68a2-9ad6-4a1c-7bd7-18efe5c99081","Rare Custom Script Extension","Execution","T1059"
"Azure Cloud NGFW by Palo Alto Networks","0a57accf-3548-4e38-a861-99687c958f59","Palo Alto - high-risk ports","InitialAccess Discovery",
"Azure Cloud NGFW by Palo Alto Networks","2f8522fc-7807-4f0a-b53d-458296edab8d","Palo Alto - potential beaconing detected","CommandAndControl","T1071 T1571"
"Azure Firewall","932fe71a-7a8c-4f35-bf88-321ab68ff562","First Time Source IP to Destination Using Port","Exfiltration CommandAndControl",
"Azure Firewall","f055e82b-5ef6-4395-bc9e-99f7e451343a","First Time Source IP to Destination","Exfiltration CommandAndControl",
"Azure Firewall","d006f4f8-86bb-4c9d-9826-837762ddad6b","Source IP Abnormally Connects to Multiple Destinations","Execution LateralMovement",
"Azure Firewall","8812a547-13e6-4d0c-b38d-476fb7351c52","Uncommon Port for Organization","Defense Evasion Exfiltration CommandAndControl",
"Azure Firewall","3d93fa57-53e5-4d5e-96d4-ad734a8df3a4","Uncommon Port to IP","Exfiltration CommandAndControl",
"Azure SQL Database solution for sentinel","724c7010-0afe-4d46-95ab-32f6737e658b","Anomalous Query Execution Time","InitialAccess","T1190"
"Azure SQL Database solution for sentinel","4cda0673-37f9-4765-af1f-556de2295cd7","Boolean Blind SQL Injection","InitialAccess","T1190"
"Azure SQL Database solution for sentinel","af55d5b0-6b4a-4874-8299-9d845bf7c1fd","Anomalous Query Execution Time","InitialAccess","T1190"
"Azure SQL Database solution for sentinel","2a21303e-be48-404f-a6f6-883a6acfe5ad","Prevalence Based SQL Query Size Anomaly","InitialAccess","T1190"
"Azure SQL Database solution for sentinel","db5b0a77-1b1d-4a31-8ebb-c508ebc3bb38","Suspicious SQL Stored Procedures","InitialAccess","T1190"
"Azure SQL Database solution for sentinel","e0944dec-3c92-4b2d-8e81-a950afeaba69","Time Based SQL Query Size Anomaly","InitialAccess","T1190"
"Azure SQL Database solution for sentinel","9670ac84-e035-47f5-8eb5-9d863a8a7893","Affected rows stateful anomaly on database - hunting query","Impact","T1485 T1565 T1491"
"Azure SQL Database solution for sentinel","137tyi7c-7225-434b-8bfc-fea28v95ebd8","Response rows stateful anomaly on database - hunting query","Exfiltration","T1537 T1567"
"Azure kubernetes Service","765dce51-689a-44b5-9b38-c9ae9441c7fc","Azure RBAC AKS created role details","Persistence","T1098"
"Azure kubernetes Service","c3ac03d5-dbf2-49ab-a2de-83396a20a5fb","Determine users with cluster admin role","Persistence","T1098"
"AzureDevOpsAuditing","940386c3-4b2c-4147-ac8e-dcddedaaae52","Azure DevOps - Build Check Deleted","DefenseEvasion","T1578"
"AzureDevOpsAuditing","47857f1f-f8e6-470d-b132-03a8a606b3f4","Azure DevOps - Build Deleted After Pipeline Modification","Persistence","T1053"
"AzureDevOpsAuditing","20be967c-4923-4c4b-8e1d-e1c95d537dc3","Azure DevOps - Internal Upstream Package Feed Added","InitialAccess","T1195"
"AzureDevOpsAuditing","76f626e0-4c78-47d4-aeb6-eaa59f4f2ecb","Azure DevOps - New Agent Pool Created","DefenseEvasion","T1578"
"AzureDevOpsAuditing","5b6ab1d9-018b-46c6-993b-3198626fc54e","Azure DevOps - New PAT Operation","DefenseEvasion","T1078"
"AzureDevOpsAuditing","3d1aa540-b4c7-4789-8c4c-4174b3c2371f","Azure DevOps - New Package Feed Created","InitialAccess","T1195"
"AzureDevOpsAuditing","0c149cc9-78ba-4be1-9f7b-018288e3a829","Azure DevOps - New Release Approver","DefenseEvasion","T1078"
"AzureDevOpsAuditing","2dfa9c23-1590-4589-995a-d1486be66028","Azure DevOps - New Release Pipeline Created","Persistence Execution PrivilegeEscalation","T1053"
"AzureDevOpsAuditing","0fa523de-ce23-49d0-87a4-e890028e1e50","Azure DevOps - Variable Created and Deleted","DefenseEvasion","T1578"
"AzureDevOpsAuditing","7b634263-9971-4887-8ecf-0d83ab9c7370","Azure DevOps- Addtional Org Admin added ","Persistence DefenseEvasion","T1098 T1562"
"AzureDevOpsAuditing","cf0c493b-a8af-4b32-8c7e-d4303f3a406f","Azure DevOps Display Name Changes","Persistence DefenseEvasion","T1098 T1036"
"AzureDevOpsAuditing","df205daf-fcf3-4b95-a7fd-043b70f6c209","Azure DevOps Pull Request Policy Bypassing","Execution","T1098"
"AzureDevOpsAuditing","c78a3845-37d9-448e-a8cd-e9543f00bcc5","Azure DevOps- Microsoft Entra ID Protection Conditional Access Disabled ","Persistence DefenseEvasion","T1098 T1562"
"AzureDevOpsAuditing","2380670e-e168-4a99-9529-6c4d127b3ce6","Azure DevOps- Guest users access enabled","Persistence DefenseEvasion","T1098 T1562"
"AzureDevOpsAuditing","42e69ff6-719d-4853-95a5-2b211e2bb031","Azure DevOps- Project visibility changed to public","Collection","T1213"
"AzureDevOpsAuditing","800ae9c9-0280-4296-821f-c6e0a473fb41","Azure DevOps- Public project enabled by admin","Persistence DefenseEvasion","T1098 T1562"
"AzureDevOpsAuditing","3cdc5404-15ed-4656-8eb9-60bc8b495934","Azure DevOps- Public project created","Persistence DefenseEvasion","T1098 T1562"
"Bitglass","8702d847-e540-4a52-a419-6d617eb200ae","Bitglass - Applications used","Exfiltration","T1078"
"Bitglass","5fc73535-738c-46ce-88a2-69bda3fada02","Bitglass - Insecure web protocol","Exfiltration","T1567"
"Bitglass","70a04a5c-4a1c-4640-a5b0-20e183c856c8","Bitglass - Login failures","InitialAccess","T1078"
"Bitglass","fee15f4d-143f-4a2d-8f3d-dcf9e716f192","Bitglass - New applications","Exfiltration","T1078"
"Bitglass","006f32a7-6c23-4f10-bafc-9eabece8a8de","Bitglass - New users","InitialAccess","T1078"
"Bitglass","126de8f9-6c61-44a9-960e-b294e6b12e9b","Bitglass - Privileged login failures","InitialAccess","T1078"
"Bitglass","3f21e7e2-0226-412c-87f0-262700a64db0","Bitglass - Risky users","InitialAccess","T1078"
"Bitglass","c862b799-aced-40fd-b600-d85d06d3505c","Bitglass - Risky users","InitialAccess","T1078"
"Bitglass","1b45c098-8d65-4c50-9f7b-9108e71ecf60","Bitglass - Uncategorized resources","InitialAccess","T1566"
"Bitglass","be63a941-4e04-4e86-af4c-a6b8a0ea5213","Bitglass - User devices","InitialAccess","T1078"
"Box","949aec39-304d-4fba-94b3-15337d05e3f1","Box - IP list for admin users","InitialAccess PrivilegeEscalation","T1078"
"Box","4b4a1802-8fcc-4eeb-9ccd-b5bb16f4b64b","Box - Deleted users","Impact","T1531"
"Box","d8ef8d5c-97f3-4552-afca-75d44339fa8f","Box - Inactive admin users","PrivilegeEscalation","T1078"
"Box","c0a4169e-c713-484b-95a9-d8f437b52d66","Box - Inactive users","InitialAccess","T1078"
"Box","c8e19aa5-3424-4b90-8594-79ee4613f429","Box - New users","PrivilegeEscalation Persistence","T1078"
"Box","6b91dda7-d9c5-4197-9dea-0c41f7c55176","Box - Suspicious or sensitive files","Exfiltration","T1048"
"Box","47e0a82d-fd66-4d6e-a64a-ac377f136426","Box - Downloaded data volume per user","Exfiltration Collection","T1020 T1119 T1530"
"Box","5ff08015-2d1e-4c2b-862f-2759e6132d0e","Box - New users","PrivilegeEscalation","T1078"
"Box","484f9c1c-a8d6-4a78-b526-d38958ade100","Box - Uploaded data volume per user","Exfiltration Collection","T1530 T1537"
"Box","09fee766-d5ba-4e8c-8e9e-363915aee1f4","Box - Users with owner permissions","PrivilegeEscalation","T1078"
"Business Email Compromise - Financial Fraud","0ef8dee1-eb94-44c8-b59b-2eb096a4b983","S3 Bucket outbound Data transfer anomaly","Exfiltration","T1020"
"Business Email Compromise - Financial Fraud","669e1338-b1a2-4d73-b720-a1e60d5d1474","Suspicious Data Access to S3 Bucket from Unknown IP","Collection","T1530"
"Business Email Compromise - Financial Fraud","0576750e-6b61-4545-845f-f5b8f29a0cc4","Email Forwarding Configuration with SAP download","InitialAccess Collection Exfiltration","T1078 T1114 T1020"
"Business Email Compromise - Financial Fraud","b7918a0a-c6fe-4b6d-9111-b0b0c477f1a8","Login attempts using Legacy Auth","InitialAccess Persistence","T1078 T1098"
"Business Email Compromise - Financial Fraud","f50a26d7-ffdb-4471-90b9-3be78c60e4f2","Office Mail Rule Creation with suspicious archive mail move activity","Collection Exfiltration","T1114 T1020"
"Business Email Compromise - Financial Fraud","2843e796-3d6c-4a78-a815-1db783b346a3","High count download from a SAP Privileged account","InitialAccess Exfiltration","T1078 T1030"
"Business Email Compromise - Financial Fraud","99885ff5-00cf-49e8-9452-6de6aba2a5c7","Successful Signin From Non-Compliant Device","InitialAccess","T1078.004"
"Business Email Compromise - Financial Fraud","8eace93b-f38c-47b7-a21d-739556d31db6","User Accounts - New Single Factor Auth","InitialAccess","T1078"
"Business Email Compromise - Financial Fraud","f56b2223-0d4d-4347-9de4-822d195624ee","User Accounts - Unusual authentications occurring when countries do not conduct normal business operations.","InitialAccess","T1078"
"Business Email Compromise - Financial Fraud","8c5bc38a-438d-48fb-ae3f-7f356d3e5ba9","User detection added to privilege groups based in Watchlist ","Reconnaissance PrivilegeEscalation","T1548"
"Business Email Compromise - Financial Fraud","09a7c5fc-0649-4f7d-a21b-36a754cef6b6","User Login IP Address Teleportation","InitialAccess","T1078"
"Business Email Compromise - Financial Fraud","41fa6e2d-afe9-4398-9356-cec3a927e44e","Microsoft Entra ID signins from new locations","InitialAccess","T1078"
"Business Email Compromise - Financial Fraud","bfacf634-c75e-4291-998c-ecbc0323d943","Risky Sign-in with new MFA method","Persistence","T1078.004"
"Cisco ISE","72f60667-2a6d-421d-b98d-3d7c3b37a0e5","CiscoISE - Authentication attempts to suspended user account","InitialAccess CredentialAccess",
"Cisco ISE","98d1384d-5aef-430c-875c-3b4434afb003","CiscoISE - Dynamic authorization failed","InitialAccess",
"Cisco ISE","c6ebac93-18af-43e3-b757-d6cb147a74b9","CiscoISE - Expired certificate in the client certificates chain",,
"Cisco ISE","9cb9ef9e-4f4d-4437-8abe-249589e72931","CiscoISE - Failed authentication events","CredentialAccess",
"Cisco ISE","64b63d2d-a867-4451-bf74-f2310398498e","CiscoISE - Failed login attempts via SSH CLI (users)","LateralMovement",
"Cisco ISE","3935b084-2fa1-461a-b920-1e20c1acff7b","CiscoISE - Guest authentication failed","CredentialAccess",
"Cisco ISE","377a4eb8-ced4-4e2b-a2f5-731db8f78275","CiscoISE - Guest authentication succeeded","InitialAccess Persistence PrivilegeEscalation DefenseEvasion",
"Cisco ISE","32abe28a-c1c8-4eb4-adfb-858abdbacbfe","CiscoISE - Rare or new useragent","InitialAccess",
"Cisco ISE","4fb45425-b758-41d8-80bc-843b5b0f119e","CiscoISE - Sources with high number of Failed Authentication events","CredentialAccess",
"Cisco ISE","abea259e-7d56-48d8-ae47-d159929eeed8","CiscoISE - Attempts to suspend the log collector","DefenseEvasion",
"Cisco Secure Endpoint","2b2415f3-6bfd-48df-8f9f-a1ccf67449f5","Cisco SE - Infected hosts","Execution","T1204.002"
"Cisco Secure Endpoint","f597ff7a-bddc-4cb1-83a8-62b0d7f4740d","Cisco SE - Infected users","Execution","T1204.002"
"Cisco Secure Endpoint","987681e4-3f0f-484c-95c1-88044b07759b","Cisco SE - User Logins","InitialAccess","T1078"
"Cisco Secure Endpoint","d074fc1b-e276-48c8-9ef4-d691652a6625","Cisco SE - Malicious files","Execution","T1204.002"
"Cisco Secure Endpoint","0c478995-c9c0-44ad-b3e9-428d54851b0c","Cisco SE - Modified agents on hosts","DefenseEvasion","T1562"
"Cisco Secure Endpoint","fd6f8d2b-416d-4ee6-8289-961022205d7e","Cisco SE - Rare scanned files","Execution","T1204.002"
"Cisco Secure Endpoint","1eae0963-16be-4d49-9491-6fc54f8254fd","Cisco SE - Scanned files","Execution","T1204.002"
"Cisco Secure Endpoint","31c92a55-375a-4199-8407-d2863476d85d","Cisco SE - Suspicious powershel downloads","Execution","T1204.002"
"Cisco Secure Endpoint","dc87c967-61d2-48e9-9fe1-26920944ca57","Cisco SE - Uncommon application behavior","Execution","T1204.002"
"Cisco Secure Endpoint","3d3330e9-d11b-4b68-8861-251253950bd2","Cisco SE - Vulnerable applications","Execution","T1204.002"
"CiscoDuoSecurity","421bbeed-ad5b-4acd-9f0b-6b609da33914","Cisco Duo - Admin failure authentications","InitialAccess","T1078"
"CiscoDuoSecurity","c6386cad-2dd2-436c-a938-bc66dda6c01a","Cisco Duo - Delete actions","Impact","T1531"
"CiscoDuoSecurity","385b0938-3922-48ab-a57a-cb8650ab71a3","Cisco Duo - Admin failure authentications","InitialAccess","T1078"
"CiscoDuoSecurity","b8c43652-1b79-4b18-a348-a719bafad6d3","Cisco Duo - Authentication errors","InitialAccess","T1078"
"CiscoDuoSecurity","5653900e-4b21-408d-84da-e4db3da891bb","Cisco Duo - Authentication error reasons","InitialAccess","T1078"
"CiscoDuoSecurity","5d0b00fd-1dc0-4e1b-ae09-5cec3b4fadf6","Cisco Duo - Deleted users","Impact","T1531"
"CiscoDuoSecurity","b8f46142-cebc-435d-9943-2ed74e1eaba7","Cisco Duo - Fraud authentications","InitialAccess","T1078"
"CiscoDuoSecurity","72c81132-bc09-4a2f-9c32-02e2e9ee7978","Cisco Duo - New users","InitialAccess Persistence","T1078"
"CiscoDuoSecurity","9de62fee-f601-43c9-8757-2098e59fedeb","Cisco Duo - Devices with vulnerable OS","InitialAccess","T1078"
"CiscoDuoSecurity","c308e737-e620-4c89-ab1e-a186e901b087","Cisco Duo - Devices with unsecure settings","InitialAccess","T1078"
"CiscoSEG","efb45608-3955-4915-8a46-ef5d7160cef7","Cisco SEG - Dropped incoming mails","InitialAccess","T1566"
"CiscoSEG","805b5625-8a04-4ca5-bab5-7c8cb383b3e3","Cisco SEG - Dropped outgoing mails","Exfiltration","T1030"
"CiscoSEG","d7ea4577-1192-49da-96a2-b6d8219c6ac0","Cisco SEG - DKIM failures","InitialAccess","T1566"
"CiscoSEG","8bd157d3-2613-4a36-83e2-ec55332ed7f7","Cisco SEG - DMARK failures","InitialAccess","T1566"
"CiscoSEG","215a747d-5a5e-4596-b399-85ff5cc572bd","Cisco SEG - SPF failures","InitialAccess","T1566"
"CiscoSEG","4511f6a0-c174-4ccc-a851-24b14022e217","Cisco SEG - Failed incoming TLS connections","InitialAccess","T1566"
"CiscoSEG","aeb733e3-34e9-4724-97c7-c6ad31ea39e5","Cisco SEG - Failed outgoing TLS connections","Impact","T1565"
"CiscoSEG","2389de0a-f53f-4a11-b01b-1adce5f26287","Cisco SEG - Insecure protocol","Impact","T1565"
"CiscoSEG","7895ffa5-cd61-43cf-89e5-9630e79685fd","Cisco SEG - Sources of spam mails","InitialAccess","T1566"
"CiscoSEG","064b1051-d8ac-4ef2-a537-30d32b4c27d9","Cisco SEG - Top users receiving spam mails","InitialAccess","T1566"
"CiscoUmbrella","c92741e6-8454-40bb-8830-069cb86946c6","Cisco Umbrella - Anomalous FQDNs for domain","CommandAndControl","T1071"
"CiscoUmbrella","c92741e6-8454-40bb-8830-069cb86946c6","Cisco Umbrella - Anomalous FQDNs for domain","CommandAndControl","T1071"
"CiscoUmbrella","22e5e573-409b-433f-91de-50d6f0ad5a9e","Cisco Umbrella - 'Blocked' User-Agents.","Exfiltration","T1020"
"CiscoUmbrella","26aebe0d-9a4f-456d-bbb9-9f4c9c5d28ca","Cisco Umbrella - DNS Errors.","InitialAccess","T1189"
"CiscoUmbrella","bd1457df-3e81-4218-a079-0963200c8d67","Cisco Umbrella - DNS requests to unreliable categories.","InitialAccess","T1189"
"CiscoUmbrella","55393e5b-3f7e-4d40-85e5-38ef9ecd8484","Cisco Umbrella - Higher values of count of the Same BytesIn size","CommandAndControl","T1071"
"CiscoUmbrella","975419eb-7041-419c-b8f0-c4bf513cf2b2","Cisco Umbrella - High values of Uploaded Data","Exfiltration","T1020"
"CiscoUmbrella","85421f18-2de4-42ff-9ef4-058924dcb1bf","Cisco Umbrella - Possible connection to C2.","CommandAndControl","T1071"
"CiscoUmbrella","497d7250-87e1-49b1-a096-94f61c7ade9c","Cisco Umbrella - Possible data exfiltration","Exfiltration","T1020"
"CiscoUmbrella","daf2f3cf-0f0d-45c1-b428-3c23d643859b","Cisco Umbrella - Proxy 'Allowed' to unreliable categories.","InitialAccess","T1189"
